run_id,fetched_at,vendor_slug,company_domain,url_from,url_to,tenant_id,domain_rating_source,traffic_domain,title
20260526-125533,2026-05-26T12:55:33Z,workday,uhaul.com,https://jobs.uhaul.com/Benefits,https://www.myworkday.com/uhaul/d/task/1422$3623.htmld,uhaul,82.0,2416956,Benefits
20260526-125533,2026-05-26T12:55:33Z,workday,chipotle.com,https://jobs.chipotle.com/en/job_location/newport-beach/food-safety-analyst-r-and-d/282/93246919056/839045,https://wd5.myworkday.com/wday/drs/outage?t=chipotle&s=ChipotleCareers,chipotle,82.0,5224114,Working at CHIPOTLE's Newport Beach Office
20260526-125533,2026-05-26T12:55:33Z,workday,dentsu.com,https://www.dentsu.com/see/en/careers/jobs-by-location,https://wd3.myworkday.com/wday/drs/outage?t=dentsuaegis&s=DAN_GLOBAL,dentsuaegis,82.0,94670,dentsu
20260526-125533,2026-05-26T12:55:33Z,workday,wgbh.org,https://www.wgbh.org/foundation/careers/employment-opportunities,https://www.myworkday.com/wday/drs/outage?t=publicmedia&s=WGBH_Careers,publicmedia,81.0,50041,Employment Opportunities | GBH
20260526-125533,2026-05-26T12:55:33Z,workday,thenorthface.com,https://www.thenorthface.com/fr-ca/about-us/careers,https://wd5.myworkday.com/wday/drs/outage?t=vfc&s=northface_careers,vfc,81.0,2631686,Carrières | The North Face Canada
20260526-125533,2026-05-26T12:55:33Z,workday,chevron.com,https://careers.chevron.com/job/buenos-aires/sap-s4-hana-enterprise-asset-management-and-intelligent-asset-management-functional-analyst/38138/87567664112,https://wd5.myworkday.com/wday/drs/outage?t=chevron&s=jobs,chevron,81.0,196195,SAP S4/HANA Enterprise Asset Management & Intelligent Asset Management Functional Analyst at Chevron
20260526-125533,2026-05-26T12:55:33Z,workday,petco.com,https://careers.petco.com/job/watauga/sales-associate/47428/95019978784,https://www.myworkday.com/petco/d/task/2998$42366.htmld,petco,81.0,2548802,Sales Associate at Petco
20260526-125533,2026-05-26T12:55:33Z,workday,bupa.co.uk,https://careers.bupa.co.uk/our-roles/nurses,https://wd3.myworkday.com/wday/drs/outage?t=bupa&s=EXT_CAREER,bupa,81.0,1961312,Nurses Bupa Careers
20260526-125533,2026-05-26T12:55:33Z,workday,nab.com.au,https://careers.nab.com.au/jobs/search,https://wd3.myworkday.com/wday/drs/outage?t=nab&s=nab_careers,nab,81.0,1449871,Job search - NAB
20260526-125533,2026-05-26T12:55:33Z,workday,geico.com,https://careers.geico.com/us/en/job/R0019040/Bilingual-Spanish-English-Customer-Service-Representative-Lakeland-FL,https://www.myworkday.com/wday/drs/outage?t=geico&s=External,geico,81.0,3157336,GEICO Careers
20260526-125533,2026-05-26T12:55:33Z,workday,flir.com,https://www.flir.com/ko/about/recruitment-scams/,https://www.myworkday.com/wday/drs/outage?t=flir&s=flircareers,flir,81.0,106591,Careers | Flir
20260526-125533,2026-05-26T12:55:33Z,workday,cibc.com,https://www.cibc.com/en/about-cibc/careers/students-and-graduates.html,https://wd3.myworkday.com/wday/drs/outage?t=cibc&s=campus,cibc,81.0,3648939,Students and Graduates | Careers | CIBC
20260526-125533,2026-05-26T12:55:33Z,workday,westfield.com,https://www.westfield.com/en/united-states/gardenstateplaza/employment-opportunities/jdsportsvarious,https://www.myworkday.com/wday/drs/outage?t=finishline&s=store_careers,finishline,80.0,1378529,Garden State Plaza Jobs
20260526-125533,2026-05-26T12:55:33Z,workday,bd.com,https://jobs.bd.com/es/trabajo/kulim/chemistry-lab-technician-1/159/51568579568,https://www.myworkday.com/wday/drs/outage?t=bdx&s=EXTERNAL_CAREER_SITE_MALAYSIA,bdx,80.0,396322,Oferta de empleo para el puesto de Chemistry Lab Technician 1 en BD
20260526-125533,2026-05-26T12:55:33Z,workday,ingrammicro.com,https://id-corp.ingrammicro.com/careers/home,https://wd5.myworkday.com/wday/drs/outage?t=ingrammicro&s=IngramMicro,ingrammicro,80.0,68915,Today’s talent. Tomorrow’s success. Join INGRAM MICRO for a greater future | Ingram Micro Indonesia
20260526-125533,2026-05-26T12:55:33Z,workday,wwe.com,https://corporate.wwe.com/careers/veteranpartnership,https://wd5.myworkday.com/wday/drs/outage?t=wwecorp&s=wwecorp,wwecorp,80.0,2309812,VETERAN PARTNERSHIP | Corporate
20260526-125533,2026-05-26T12:55:33Z,workday,condenast.com,https://www.condenast.com/fr/careers,https://wd5.myworkday.com/wday/drs/outage?t=condenast&s=condecareers,condenast,80.0,34105,Condé Nast
20260526-125533,2026-05-26T12:55:33Z,workday,integralads.com,https://integralads.com/apac/about-ias/careers/,https://www.myworkday.com/wday/drs/outage?t=integralads&s=IAScareers,integralads,80.0,6073,Integral Ad Science | Careers
20260526-125533,2026-05-26T12:55:33Z,workday,specialized.com,https://www.specialized.com/my/en/careers,https://wd5.myworkday.com/wday/drs/outage?t=specialized&s=Specialized_External_Career_Site,specialized,80.0,1750439,Careers
20260526-125533,2026-05-26T12:55:33Z,workday,generalmills.com,https://careers.generalmills.com/asia/jobs,https://www.myworkday.com/genmills/d/home.htmld,genmills,80.0,67994,Food Industry Careers in Asia | General Mills Careers
20260526-125533,2026-05-26T12:55:33Z,workday,rockwool.com,https://www.rockwool.com/group/about-us/careers/vacancies/unsolicited-applications/,https://wd3.myworkday.com/wday/drs/outage?t=rockwoolgroup&s=ROCKWOOL,rockwoolgroup,80.0,273075,Unsolicited Applications
20260526-125533,2026-05-26T12:55:33Z,workday,walmart.ca,https://careers.walmart.ca/job/sainte-agathe-des-monts/can-stockperson-cartpusher/4853/93161922336,http://wd5.myworkday.com/walmart/d/task/1422$8072.htmld,walmart,80.0,6344123,(CAN) Stockperson/Cartpusher at Walmart Canada
20260526-125533,2026-05-26T12:55:33Z,workday,northropgrumman.com,https://www.northropgrumman.com/careers/our-hiring-process,https://www.myworkday.com/ngc/d/home.htmld,ngc,80.0,189336,Our Hiring Process | Northrop Grumman
20260526-125533,2026-05-26T12:55:33Z,workday,ing.com,https://careers.ing.com/nl/banen/singapore/intern-human-resources/3121/23657123392,https://wd3.myworkday.com/wday/drs/outage?t=ing&s=ICSGBLCOR,ing,80.0,83389,"Beschrijving van Intern, Human Resources bij Werken bij ING Bank N.V."
20260526-125533,2026-05-26T12:55:33Z,workday,servicetitan.com,https://www.servicetitan.com/job-openings,https://www.myworkday.com/wday/drs/outage?t=servicetitan&s=ServiceTitan,servicetitan,80.0,409330,Job openings @ ServiceTitan
20260526-125533,2026-05-26T12:55:33Z,workday,mailchimpsites.com,https://sedc.mailchimpsites.com/recruiting,https://www.myworkday.com/childrensplace/d/task/3005$4482.htmld,childrensplace,80.0,11577,General - SEDC
20260526-125533,2026-05-26T12:55:33Z,workday,vumc.org,https://hr.vumc.org/user/login?destination=/careers/hiring-process,https://www.myworkday.com/vumc/d/task/2998$46522.htmld,vumc,79.0,217042,Log in | VUMC Human Resources
20260526-125533,2026-05-26T12:55:33Z,workday,iberdrola.com,https://www.iberdrola.com/careers/jobs,https://wd3.myworkday.com/wday/drs/outage?t=iberdrola&s=Iberdrola,iberdrola,79.0,1226327,Jobs: Iberdrola job offers - Iberdrola
20260526-125533,2026-05-26T12:55:33Z,workday,vans.com,https://www.vans.com/en-us/help/legal/employee-discount,https://wd5.myworkday.com/vfc/d/home.htmld,vfc,79.0,2685728,Employee Discount Page | Vans US
20260526-125533,2026-05-26T12:55:33Z,workday,signify.com,https://www.careers.signify.com/global/en/job/361333/Product-Marketing-Internship,https://wd3.myworkday.com/wday/drs/outage?t=lighting&s=jobs-and-careers,lighting,79.0,105142,
20260526-125533,2026-05-26T12:55:33Z,workday,globalpayments.com,https://jobs.globalpayments.com/fr-ca/emplois/r0070456/manager-project-management/,https://www.myworkday.com/wday/drs/outage?t=tsys&s=TSYS,tsys,79.0,52268,"Manager, Project Management, Cuajimalpa, Mexico City, Mexico | Global Payments Careers"
20260526-125533,2026-05-26T12:55:33Z,workday,massgeneralbrigham.org,https://www.massgeneralbrigham.org/en/about/for-employees,https://www.myworkday.com/massgeneralbrigham/d/home.htmld,massgeneralbrigham,79.0,1506678,For Employees | Mass General Brigham
